id_pedido,id_cliente,id_restaurante,id_entregador,distancia_km,valor_pedido,clima,horario_pico,tempo_entrega_min,tempo_prometido_min,atrasado,minutos_atraso,avaliacao
1001,103,5,34,13.06,54.49,Nublado,1,96,74,1,22,2.3
1002,180,6,29,12.85,185.28,Chuvoso,0,87,73,1,14,3.0
1003,93,20,4,13.86,38.32,Nublado,1,100,76,1,24,1.9
1004,15,26,17,4.53,111.07,Ensolarado,0,46,48,0,0,4.7
1005,107,2,35,11.57,59.75,Ensolarado,0,68,69,0,0,4.8
1006,72,27,13,7.45,27.01,Ensolarado,1,67,57,1,10,3.5
1007,189,24,41,12.79,26.48,Ensolarado,1,76,73,1,3,4.4
1008,21,27,39,11.2,51.54,Nublado,1,85,68,1,17,2.7
1009,103,13,15,11.87,176.02,Nublado,1,87,70,1,17,2.8
1010,122,6,29,10.19,70.85,Nublado,1,100,65,1,35,1.0
1011,75,5,29,3.48,191.08,Ensolarado,0,54,45,1,9,3.7
1012,88,25,11,8.63,124.69,Ensolarado,0,66,60,1,6,4.2
1013,117,1,32,14.79,98.59,Ensolarado,0,79,79,0,0,4.8
1014,100,21,2,14.12,124.42,Ensolarado,1,85,77,1,8,3.7
1015,104,22,47,1.6,113.01,Ensolarado,0,34,39,0,0,5.0
1016,152,21,14,3.31,156.58,Nublado,0,56,44,1,12,3.4
1017,131,6,20,2.84,70.85,Nublado,0,40,43,0,0,4.9
1018,150,6,22,11.16,83.55,Ensolarado,1,87,68,1,19,2.5
1019,53,23,11,12.45,180.94,Ensolarado,0,61,72,0,0,5.0
1020,2,16,27,3.99,190.36,Ensolarado,0,53,46,1,7,3.9
1021,88,4,3,8.08,180.66,Ensolarado,0,61,59,1,2,4.7
1022,158,11,17,12.77,95.5,Nublado,0,77,73,1,4,4.5
1023,38,24,44,11.26,160.47,Ensolarado,0,73,68,1,5,4.1
1024,130,23,28,8.59,105.74,Ensolarado,1,71,60,1,11,3.6
1025,192,9,29,9.26,109.56,Ensolarado,1,76,62,1,14,2.9
1026,188,23,21,8.12,56.84,Chuvoso,1,90,59,1,31,1.3
1027,21,3,47,5.17,126.4,Ensolarado,0,48,50,0,0,4.8
1028,161,19,16,8.91,53.5,Ensolarado,1,79,61,1,18,2.8
1029,58,8,37,10.64,79.68,Ensolarado,0,62,66,0,0,4.9
1030,22,5,20,13.23,173.91,Nublado,0,85,74,1,11,3.3
1031,89,4,6,9.91,57.27,Chuvoso,1,93,64,1,29,1.2
1032,49,24,19,11.66,32.81,Ensolarado,0,58,69,0,0,5.0
1033,59,6,5,3.24,32.42,Chuvoso,0,50,44,1,6,4.1
1034,170,2,3,7.46,189.34,Chuvoso,1,77,57,1,20,2.3
1035,188,20,1,1.13,111.25,Chuvoso,0,57,38,1,19,2.6
1036,15,28,38,4.45,93.69,Nublado,1,67,48,1,19,2.7
1037,190,11,15,11.17,165.96,Nublado,0,82,68,1,14,3.0
1038,190,4,34,14.89,170.45,Ensolarado,1,94,79,1,15,2.8
1039,175,15,35,2.39,79.79,Nublado,0,47,42,1,5,4.0
